doc_id,base_E_pred,base_E_resp,description,country,queries,carb,fat,energy,protein,base_E_mae,CoT_E_pred,CoT_E_resp,CoT_E_mae,base_pred,base_resp,base_mae
514,97.5,"['{""total_carbohydrates"": 97.5}']","['Cowpea\t leaves (kunde) picked\t raw corrected for boiling', 'Onion\t mature\t red skinned\t peeled\t fresh\t raw corrected for stewing', 'Royco', 'Salt\t Iodized', 'Tomato\t red\t ripe\t raw\t corrected for stewing', 'Vegetable oil', 'Whole Maize Flour Ugali']",KEN,"Tonight's meal consists of 68.1g of cowpea leaves, 19.1g of onion, and 38.1g of tomato. I used 2.8g of Royco seasoning and 1.2g of salt, with 13.5g of vegetable oil, and it's all served with 415g of whole maize flour ugali.",60.0,18.5,467.0,10.4,37.5,308.91,"['The meal consists of the following items:\n- 68.1g of cowpea leaves\n- 19.1g of onion\n- 38.1g of tomato\n- 2.8g of Royco seasoning\n- 1.2g of salt\n- 13.5g of vegetable oil\n- 415g of whole maize flour ugali\n\nLet\'s estimate the carbohydrates for each item:\n\n1. Cowpea leaves: These are leafy greens and have a very low carbohydrate content. Approximately 4g of carbs per 100g. So, 68.1g has (68.1/100) * 4 = 2.72g of carbs.\n\n2. Onion: Onions have about 9g of carbs per 100g. So, 19.1g has (19.1/100) * 9 = 1.72g of carbs.\n\n3. Tomato: Tomatoes have about 4g of carbs per 100g. So, 38.1g has (38.1/100) * 4 = 1.52g of carbs.\n\n4. Royco seasoning: This typically has negligible carbohydrates, so we can assume 0g of carbs.\n\n5. Salt: Salt has 0g of carbs.\n\n6. Vegetable oil: Oil has 0g of carbs.\n\n7. Whole maize flour ugali: This is the main source of carbohydrates. Whole maize flour has about 73g of carbs per 100g. So, 415g has (415/100) * 73 = 302.95g of carbs.\n\nNow, let\'s add up the carbohydrates from all items:\nTotal carbohydrates = 2.72 + 1.72 + 1.52 + 0 + 0 + 0 + 302.95 = 308.91g\n\nOutput: {""total_carbohydrates"": 308.91}']",248.91000000000003,126.5,"['{{""total_carbohydrates"": 126.5}}']",66.5
470,331.5,"['{""total_carbohydrates"": 331.5}']","['Cassava leaves, PROCESS = Boiling, QUALITATIVE-INFO = Without added salt', 'Chives, PROCESS = Steaming', 'Mangoes, PROCESS = Raw, no heat treatment, QUALITATIVE-INFO = Orange', 'Palm oil/fat, QUALITATIVE-INFO = Red', 'Porridge water based (ready to eat), INGREDIENT = Maize grain, QUALITATIVE-INFO = Hard', 'Salt', 'Stock cube or granulate, beef, PROCESS = Drying (dehydration), GENERIC-TERM = Other']",COD,"For breakfast, I had 127.8g of boiled cassava leaves with no added salt, 1.9g of steamed chives, 206.0g of raw mangoes, 61.9g of red palm oil, 729.0g of ready-to-eat maize porridge, 1.9g of salt, and 0.3g of dried beef stock cube.",260.1,75.2,1794.0,31.5,71.39999999999998,140.25,"['The meal consists of the following items:\n\n1. 127.8g of boiled cassava leaves\n2. 1.9g of steamed chives\n3. 206.0g of raw mangoes\n4. 61.9g of red palm oil\n5. 729.0g of ready-to-eat maize porridge\n6. 1.9g of salt\n7. 0.3g of dried beef stock cube\n\nLet\'s estimate the carbohydrates for each item:\n\n1. Boiled cassava leaves: Cassava leaves are primarily a source of fiber and protein, with very low carbohydrates. For 127.8g, the carbs are negligible, approximately 0g.\n2. Steamed chives: Chives have very low carbohydrates. For 1.9g, the carbs are negligible, approximately 0g.\n3. Raw mangoes: Mangoes have about 15g of carbs per 100g. For 206.0g, the carbs are (15 * 206.0 / 100) = 30.9g.\n4. Red palm oil: Palm oil contains no carbohydrates, so 61.9g contributes 0g carbs.\n5. Ready-to-eat maize porridge: Maize porridge has about 15g of carbs per 100g. For 729.0g, the carbs are (15 * 729.0 / 100) = 109.35g.\n6. Salt: Salt contains no carbohydrates, so 1.9g contributes 0g carbs.\n7. Dried beef stock cube: Stock cubes have negligible carbohydrates. For 0.3g, the carbs are approximately 0g.\n\nAdding up the carbohydrates:\nTotal carbohydrates = 0 + 0 + 30.9 + 0 + 109.35 + 0 + 0 = 140.25g\n\nOutput: {""total_carbohydrates"": 140.25}']",119.85000000000002,187.5,"['{{""total_carbohydrates"": 187.5}}']",72.60000000000002
517,150.0,"['{""total_carbohydrates"": 150}']","['Egg\t chicken\t whole\t raw corrected for omelette', 'Onion\t mature\t red skinned\t peeled\t fresh\t raw corrected for stewing', 'Salt\t Iodized', 'Vegetable oil', 'Whole Maize Flour Ugali']",KEN,"For dinner, I’m having 54.1g of raw chicken egg, 17.5g of fresh red onion, 18.8g of iodized salt, 17.5g of vegetable oil, cooked in some vegetable oil, along with 200g of whole maize flour ugali.",30.3,40.0,494.0,4.6,119.7,147.8996,"['The meal consists of the following items:\n- 54.1g of raw chicken egg\n- 17.5g of fresh red onion\n- 18.8g of iodized salt\n- 17.5g of vegetable oil\n- 200g of whole maize flour ugali\n\nLet\'s estimate the carbohydrates for each item:\n\n1. **Raw chicken egg (54.1g):** Eggs have very low carbohydrates. Approximately 0.6g of carbs per 100g. So, 54.1g of egg has about 0.6 * (54.1 / 100) = 0.3246g of carbs.\n\n2. **Fresh red onion (17.5g):** Onions have about 9g of carbs per 100g. So, 17.5g of onion has 9 * (17.5 / 100) = 1.575g of carbs.\n\n3. **Iodized salt (18.8g):** Salt contains 0g of carbohydrates.\n\n4. **Vegetable oil (17.5g):** Oil contains 0g of carbohydrates.\n\n5. **Whole maize flour ugali (200g):** Whole maize flour has about 73g of carbs per 100g. So, 200g of ugali has 73 * (200 / 100) = 146g of carbs.\n\nNow, let\'s add up the carbohydrates from all items:\n- Egg: 0.3246g\n- Onion: 1.575g\n- Salt: 0g\n- Oil: 0g\n- Ugali: 146g\n\nTotal carbohydrates = 0.3246 + 1.575 + 0 + 0 + 146 = 147.8996g\n\nOutput: {""total_carbohydrates"": 147.8996}']",117.5996,145.5,"['{{""total_carbohydrates"": 145.5}}']",115.2
476,92.5,"['{""total_carbohydrates"": 92.5}']","['Boiled eggs, SOURCE-COMMODITIES = Hen eggs', 'Chicken fresh meat, PROCESS = Boiling, QUALITATIVE-INFO = Dark, QUALITATIVE-INFO = Without added salt, PART-CONSUMED-ANALYSED = With skin', 'Chili peppers, PROCESS = Frying', 'Chives, PROCESS = Steaming', 'Garlic, PROCESS = Frying', 'Nut/seeds paste/emulsion/mass, SOURCE-COMMODITIES = Peanuts, PROCESS = Roasting', 'Palm oil/fat, QUALITATIVE-INFO = Red', 'Porridge water based (ready to eat), INGREDIENT = Maize grain, QUALITATIVE-INFO = Hard', 'Pumpkin seeds, PROCESS = Roasting, PHYSICAL-STATE = Whole/unsplit form, including artificial forms', 'Salt', 'Smoked fish, SOURCE-COMMODITIES = Whitefishes or coregonus', 'Stock cube or granulate, beef, PROCESS = Drying (dehydration), GENERIC-TERM = Other', 'Tomatoes, PHYSICAL-STATE = Paste', 'Tomatoes, PROCESS = Frying, QUALITATIVE-INFO = Red, QUALITATIVE-INFO = Ripe / mature']",COD,"For lunch, I had 33.1g of boiled eggs, 20.3g of boiled chicken with skin, and some fried chili peppers (0.4g). I also included 1.6g of steamed chives and 1.0g of fried garlic. To add a little more flavor, I tossed in some peanut paste (4.0g), a dollop of palm oil (3.4g), and a generous bowl of porridge (160.0g). I also snuck in 210.7g of roasted pumpkin seeds and a sprinkle of salt (1.6g). For an extra kick, I added some smoked fish (27.6g), a bit of beef stock (0.9g), and some tomato paste (1.2g) along with fried tomatoes (0.4g).",160.49999999999997,58.89999999999999,1361.0,57.50000000000001,67.99999999999997,52.19,"['The meal consists of the following items:\n\n1. Boiled eggs (33.1g)\n2. Boiled chicken with skin (20.3g)\n3. Fried chili peppers (0.4g)\n4. Steamed chives (1.6g)\n5. Fried garlic (1.0g)\n6. Peanut paste (4.0g)\n7. Palm oil (3.4g)\n8. Porridge (160.0g)\n9. Roasted pumpkin seeds (210.7g)\n10. Salt (1.6g)\n11. Smoked fish (27.6g)\n12. Beef stock (0.9g)\n13. Tomato paste (1.2g)\n14. Fried tomatoes (0.4g)\n\nNow, let\'s estimate the carbohydrates for each item:\n\n1. Boiled eggs: 0.6g carbs per 100g, so 33.1g has approximately 0.2g carbs.\n2. Boiled chicken with skin: 0g carbs.\n3. Fried chili peppers: 0.4g is negligible, approximately 0g carbs.\n4. Steamed chives: 4.35g carbs per 100g, so 1.6g has approximately 0.07g carbs.\n5. Fried garlic: 33g carbs per 100g, so 1.0g has approximately 0.33g carbs.\n6. Peanut paste: 14g carbs per 100g, so 4.0g has approximately 0.56g carbs.\n7. Palm oil: 0g carbs.\n8. Porridge: 12g carbs per 100g, so 160.0g has approximately 19.2g carbs.\n9. Roasted pumpkin seeds: 15g carbs per 100g, so 210.7g has approximately 31.6g carbs.\n10. Salt: 0g carbs.\n11. Smoked fish: 0g carbs.\n12. Beef stock: 0g carbs.\n13. Tomato paste: 18.9g carbs per 100g, so 1.2g has approximately 0.23g carbs.\n14. Fried tomatoes: 0.4g is negligible, approximately 0g carbs.\n\nNow, let\'s add up the carbohydrates:\n\nTotal carbohydrates = 0.2 + 0 + 0 + 0.07 + 0.33 + 0.56 + 0 + 19.2 + 31.6 + 0 + 0 + 0 + 0.23 + 0 = 52.19g\n\nOutput: {""total_carbohydrates"": 52.19}']",108.30999999999997,54.8,"['{{""total_carbohydrates"": 54.8}}']",105.69999999999997
305,123.5,"['{""total_carbohydrates"": 123.5}']","['* beans, white (navy), dried, raw *boiled*', '* beans,kidney(isweta),fresh,raw *boiled*', '* groundnuts, powder, raw, *boiled*', '* maize flour,white variety,roller meal (unrefined),raw *boi', '* onion, large bulb, fresh, raw *boiled*', '* sweetpotato leaves, fresh, raw, *boiled*', '* tomato,ripe,fresh,raw *boiled*']",ZMB,"For a snack, I had 48g of boiled white navy beans, 16g of boiled kidney beans, 16g of boiled groundnut powder, 115g of boiled white maize flour, 13g of boiled large onion, 26g of boiled sweet potato leaves, and 45g of boiled ripe tomato.",127.3,13.0,703.0,25.799999999999997,3.799999999999997,45.06,"['The meal consists of the following items:\n\n1. 48g of boiled white navy beans\n2. 16g of boiled kidney beans\n3. 16g of boiled groundnut powder\n4. 115g of boiled white maize flour\n5. 13g of boiled large onion\n6. 26g of boiled sweet potato leaves\n7. 45g of boiled ripe tomato\n\nLet\'s estimate the carbohydrates for each item:\n\n1. Boiled white navy beans: Approximately 21g of carbs per 100g. For 48g: (21 * 48 / 100) = 10.08g carbs.\n2. Boiled kidney beans: Approximately 20g of carbs per 100g. For 16g: (20 * 16 / 100) = 3.2g carbs.\n3. Boiled groundnut powder: Approximately 21g of carbs per 100g. For 16g: (21 * 16 / 100) = 3.36g carbs.\n4. Boiled white maize flour: Approximately 21g of carbs per 100g. For 115g: (21 * 115 / 100) = 24.15g carbs.\n5. Boiled large onion: Approximately 9g of carbs per 100g. For 13g: (9 * 13 / 100) = 1.17g carbs.\n6. Boiled sweet potato leaves: Approximately 5g of carbs per 100g. For 26g: (5 * 26 / 100) = 1.3g carbs.\n7. Boiled ripe tomato: Approximately 4g of carbs per 100g. For 45g: (4 * 45 / 100) = 1.8g carbs.\n\nNow, let\'s add up the carbohydrates:\n\nTotal carbs = 10.08 + 3.2 + 3.36 + 24.15 + 1.17 + 1.3 + 1.8 = 45.06\n\nOutput: {""total_carbohydrates"": 45.06}']",82.24,88.2,"['{{""total_carbohydrates"": 88.2}}']",39.099999999999994
54,150.0,"['{""total_carbohydrates"": 150}']","['Chicken, fried, with potatoes, vegetable, dessert, frozen meal, large meat portion', 'Soft drink, cola']",USA,"For breakfast, I'm having a large frozen meal with 468.0g of fried chicken, potatoes, and vegetables, along with a 372.0g soft drink cola.",122.97,47.36,1092.24,50.87,27.03,203.232,"['The meal consists of a large frozen meal with 468.0g of fried chicken, potatoes, and vegetables, and a 372.0g soft drink cola.\n\n1. The 372.0g soft drink cola: \n   - A typical cola has about 10.6g of carbohydrates per 100g.\n   - 372.0g of cola has (372.0 * 10.6 / 100) = 39.432g of carbohydrates.\n\n2. The 468.0g frozen meal:\n   - The meal contains fried chicken, potatoes, and vegetables. \n   - Fried chicken typically has low carbohydrates, but potatoes and vegetables contribute more.\n   - Without specific breakdowns, we can estimate based on typical frozen meal compositions.\n   - Assuming the meal is balanced, potatoes and vegetables might contribute around 30-40% of the weight in carbohydrates.\n   - Let\'s estimate 35% of the meal\'s weight is carbohydrates: 468.0g * 0.35 = 163.8g of carbohydrates.\n\nAdding these together:\n- Total carbohydrates = 39.432g (cola) + 163.8g (frozen meal) = 203.232g\n\nOutput: {""total_carbohydrates"": 203.232}']",80.262,150.0,"['{{""total_carbohydrates"": 150}}']",27.03
482,38.9,"['{""total_carbohydrates"": 38.9}']","['Drink water/ Nam Deum', 'Milk powdered, Dumex (1-plus)/ Nom Phong Dumex', 'Nile tilapia, fried/ Cheun Pa Nile', 'Peari/ Mak Sali', 'Rice glutinous, polished, steamed/ Khao Niew']",LAO,"This morning, I’m enjoying 100 grams of water, 206.4 grams of Dumex powdered milk, 21.6 grams of fried Nile tilapia, 43.2 grams of pear, and 38.9 grams of steamed glutinous rice.",39.32,9.409999999999998,297.0,13.64,0.42000000000000104,117.849,"['The meal consists of 100 grams of water, 206.4 grams of Dumex powdered milk, 21.6 grams of fried Nile tilapia, 43.2 grams of pear, and 38.9 grams of steamed glutinous rice.\n\n1. Water contributes 0g of carbohydrates.\n2. Dumex powdered milk: Typically, powdered milk has about 50g of carbohydrates per 100g. Therefore, 206.4g of powdered milk has approximately 206.4 * (50 / 100) = 103.2g of carbohydrates.\n3. Fried Nile tilapia: Fish generally contains negligible carbohydrates, so we can assume 0g of carbohydrates.\n4. Pear: Pears have about 15g of carbohydrates per 100g. Therefore, 43.2g of pear has approximately 43.2 * (15 / 100) = 6.48g of carbohydrates.\n5. Steamed glutinous rice: Glutinous rice has about 21g of carbohydrates per 100g. Therefore, 38.9g of steamed glutinous rice has approximately 38.9 * (21 / 100) = 8.169g of carbohydrates.\n\nAdding these up, the total carbohydrates = 0 + 103.2 + 0 + 6.48 + 8.169 = 117.849g.\n\nOutput: {""total_carbohydrates"": 117.849}']",78.529,30.5,"['{{""total_carbohydrates"": 30.5}}']",8.82
481,81.5,"['{""total_carbohydrates"": 81.5}']","['Boiled Pork loin with little water/ Or Mou', 'Drink water/ Nam Deum', 'Mango (Kaew variety), ripe / Mak Muang Keo', 'Rice glutinous, polished, steamed/ Khao Niew']",LAO,"Lunch included 40.7g of boiled pork loin, 300g of water, 69.5g of ripe mango, and 217g of steamed glutinous rice.",129.71,1.59,591.0,14.28,48.21000000000001,55.995,"['The meal consists of 40.7g of boiled pork loin, 300g of water, 69.5g of ripe mango, and 217g of steamed glutinous rice.\n\n1. Boiled pork loin: Pork loin is primarily protein and fat, with negligible carbohydrates. Therefore, it contributes 0g of carbs.\n2. Water: Water contains 0g of carbohydrates.\n3. Ripe mango: Mango has approximately 15g of carbohydrates per 100g. Therefore, 69.5g of mango has (15 * 69.5 / 100) = 10.425g of carbs.\n4. Steamed glutinous rice: Glutinous rice has approximately 21g of carbohydrates per 100g. Therefore, 217g of glutinous rice has (21 * 217 / 100) = 45.57g of carbs.\n\nThe total carbohydrates = 0 + 0 + 10.425 + 45.57 = 55.995\n\nOutput: {""total_carbohydrates"": 55.995}']",73.715,79.5,"['{{""total_carbohydrates"": 79.5}}']",50.21000000000001
515,140.5,"['{""total_carbohydrates"": 140.5}']","['Beef\t medium fat\t w/o bones\t raw\t corrected for stewing', 'Onion\t mature\t red skinned\t peeled\t fresh\t raw corrected for stewing', 'Pumpkin\t leaves (seveve)\t raw\t corrected for boling', 'Rice\t white\t milled\t polished grain\t dry\t raw corrected for stewing', 'Salt\t Iodized', 'Tomato\t red\t ripe\t raw\t corrected for stewing', 'Vegetable oil', 'Whole Maize Flour Ugali']",KEN,"For lunch, I’m having 56.4 grams of raw medium fat beef, 47 grams of chopped fresh red onion, and 73.3 grams of raw pumpkin leaves. I also cooked 43.5 grams of dry white rice with 0.9 grams of iodized salt, and added 68.7 grams of ripe raw tomato. I used 21.0 grams of vegetable oil and served it with 600 grams of whole maize flour ugali.",100.0,31.9,845.0,27.0,40.5,172.176,"['The meal consists of the following items:\n\n1. 56.4 grams of raw medium fat beef: Beef contains negligible carbohydrates, so it contributes 0g carbs.\n\n2. 47 grams of chopped fresh red onion: Onions have about 9g of carbs per 100g. Therefore, 47g of onion has (47 * 9 / 100) = 4.23g carbs.\n\n3. 73.3 grams of raw pumpkin leaves: Pumpkin leaves have about 6g of carbs per 100g. Therefore, 73.3g of pumpkin leaves has (73.3 * 6 / 100) = 4.398g carbs.\n\n4. 43.5 grams of dry white rice: Dry white rice has about 80g of carbs per 100g. Therefore, 43.5g of dry rice has (43.5 * 80 / 100) = 34.8g carbs.\n\n5. 0.9 grams of iodized salt: Salt contains 0g carbs.\n\n6. 68.7 grams of ripe raw tomato: Tomatoes have about 4g of carbs per 100g. Therefore, 68.7g of tomato has (68.7 * 4 / 100) = 2.748g carbs.\n\n7. 21.0 grams of vegetable oil: Oil contains 0g carbs.\n\n8. 600 grams of whole maize flour ugali: Ugali made from maize flour has about 21g of carbs per 100g. Therefore, 600g of ugali has (600 * 21 / 100) = 126g carbs.\n\nNow, let\'s add up the carbohydrates from all items:\n\nTotal carbohydrates = 0 + 4.23 + 4.398 + 34.8 + 0 + 2.748 + 0 + 126 = 172.176g\n\nOutput: {""total_carbohydrates"": 172.176}']",72.17599999999999,452.5,"['{{""total_carbohydrates"": 452.5}}']",352.5
486,85.5,"['{""total_carbohydrates"": 85.5}']","['Bamboo shoot, boiled with Pork spare ribs/ Kheang Nor Mai Sai Ka Douk Mou', 'Drink water/ Nam Deum', 'Rice glutinous, polished, steamed/ Khao Niew']",LAO,"My lunch consisted of 163.7g of bamboo shoots with pork ribs, 210g of steamed glutinous rice, and a refreshing 200g glass of water.",116.28,0.8300000000000001,517.0,11.11,30.78,46.1,"['The meal consists of 163.7g of bamboo shoots with pork ribs, 210g of steamed glutinous rice, and a 200g glass of water.\n\n1. Bamboo shoots with pork ribs:\n   - Bamboo shoots are low in carbohydrates. For 163.7g, they contribute approximately 2g of carbs.\n   - Pork ribs contribute negligible carbohydrates.\n\n2. Steamed glutinous rice:\n   - Steamed glutinous rice is high in carbohydrates. It has about 21g of carbs per 100g.\n   - For 210g, the carbs are 210 * (21 / 100) = 44.1g of carbs.\n\n3. Water:\n   - Water contributes 0g of carbs.\n\nTotal carbohydrates = 2 + 44.1 = 46.1\n\nOutput: {""total_carbohydrates"": 46.1}']",70.18,72.5,"['{{""total_carbohydrates"": 72.5}}']",43.78
