description,carb,fat,energy,protein,country,amount_type,queries
"['Peaches, baby food, strained', 'Beans, green string, baby food, strained']","[10.28, 4.47]","[0.23, 0.12]","[46.15, 19.17]","[0.67, 0.85]",USA,metric,"For my dinner, I’ve got 71 grams of baby food peaches and 71 grams of baby food green beans."
"['Ham, prepackaged or deli, luncheon meat', 'Cheese, Mozzarella, part skim']","[0.08, 1.26]","[1.04, 5.78]","[29.68, 84.48]","[4.68, 6.72]",USA,metric,I'm putting together a lunch with 28 grams of ham and 28.35 grams of part-skim mozzarella cheese.
"['Chocolate milk, ready to drink, reduced sugar, NS as to milk', 'Frankfurter or hot dog sandwich, meat and poultry, plain, on white bun', 'Ketchup']","[19.05, 25.56, 4.66]","[2.58, 16.27, 0.02]","[141.36, 291.72, 17.17]","[8.51, 10.23, 0.18]",USA,metric,"I’ve got a lunch that includes 248 grams of ready-to-drink reduced sugar chocolate milk, a hot dog sandwich on a white bun that's 102 grams, and some ketchup on the side for 17 grams."
"['Cheese, Mozzarella, part skim', 'Apple, raw']","[1.26, 33.42]","[5.78, 0.41]","[84.48, 125.84]","[6.72, 0.63]",USA,metric,"For a snack, I'm having 28.35 grams of part-skim mozzarella cheese and a raw apple weighing 242 grams."
"['Water, tap', 'Tea, hot, leaf, black']","[0, 1.08]","[0, 0]","[0, 3.6]","[0, 0]",USA,metric,I'm enjoying a snack that includes 240 grams of tap water and 360 grams of hot black tea.
"['Potato chips, plain', 'Whopper with cheese (Burger King)']","[15.07, 51.42]","[9.51, 45.82]","[148.96, 777.2]","[1.79, 39.7]",USA,metric,I just grabbed a Whopper with cheese that weighs 290 grams and a side of 28 grams of plain potato chips for lunch.
"['Soft drink, fruit flavored, caffeine containing', 'Soft drink, pepper type']","[47.73, 38.54]","[0, 0.93]","[182.28, 156.24]","[0, 0]",USA,metric,I started my morning with 372 grams of a fruit-flavored caffeinated soft drink and 372 grams of a pepper-flavored soft drink.
"['Orange juice, 100%, with calcium added, canned, bottled or in a carton', 'Chicken fillet biscuit, from fast food']","[13.97, 40.94]","[0.15, 29.59]","[58.28, 496]","[0.84, 16.71]",USA,metric,"This morning, I drank 124 grams of orange juice and had a 155-gram chicken fillet biscuit from fast food."
"['Water, bottled, unsweetened', 'Tilapia, steamed or poached']","[0, 0]","[0, 3.64]","[0, 205.7]","[0, 42.92]",USA,metric,I’m enjoying 330 grams of water and 170 grams of tilapia for lunch.
"['Peach, raw', 'Plum, raw']","[15.15, 8.56]","[0.4, 0.21]","[63, 34.5]","[1.36, 0.52]",USA,metric,I’m enjoying a raw peach of 150 grams and a raw plum of 75 grams for lunch.
"['Water, bottled, unsweetened', 'Caramel, flavor other than chocolate', 'Popcorn, caramel coated, with nuts']","[0, 17.71, 33.63]","[0, 1.86, 3.25]","[0, 87.86, 166.74]","[0, 1.06, 2.67]",USA,metric,"For my snack, I’m drinking 507 grams of bottled water and snacking on 23 grams of caramel and 42 grams of caramel popcorn with nuts."
"['Soft drink, cola, decaffeinated', 'Bread, French or Vienna']","[39.36, 78.86]","[0, 3.68]","[152.52, 413.44]","[0, 16.34]",USA,metric,I drank 372 grams of decaffeinated cola and had 152 grams of French bread for breakfast.
"['Chicken dinner, NFS, frozen meal']",[41.34],[13.35],[393.12],[27.3],USA,metric,I’m eating a frozen chicken dinner that weighs 312 grams for dinner.
"['Potato chips, cheese flavored']",[31.87],[17.7],[277.59],[3.71],USA,metric,I’m munching on 57 grams of cheese-flavored potato chips for a quick snack.
"['Carbonated water, unsweetened']",[0],[0],[0],[0],USA,metric,"For my snack, I poured myself 360 grams of carbonated water without any sweeteners."
"['Ice cream soda, flavors other than chocolate', 'Fruit juice drink, with high vitamin C', 'Gumdrops']","[26.92, 23.72, 59.34]","[5.57, 0.23, 0]","[163.2, 96.14, 237.6]","[1.77, 0.27, 0]",USA,metric,"For a snack, I'm having 192 grams of ice cream soda, a fruit juice drink with high vitamin C weighing 209 grams, and 60 grams of gumdrops."
"['Bread, wheat or cracked wheat, toasted', 'Sugar substitute, aspartame, powder', 'Coffee, brewed, decaffeinated', 'Oatmeal, reduced sugar, flavored, no added fat']","[13.06, 0.89, 0, 28.25]","[1.25, 0, 0, 2.18]","[75.25, 3.65, 0, 144.5]","[2.93, 0.02, 0.24, 4]",USA,metric,"For breakfast, I had 25 grams of toasted wheat bread with a gram of aspartame, along with 240 grams of brewed decaffeinated coffee and 170 grams of reduced sugar oatmeal."
"['Water, bottled, unsweetened', 'Ice cream, vanilla']","[0, 84.96]","[0, 39.6]","[0, 745.2]","[0, 12.6]",USA,metric,I have 507 grams of water and 360 grams of vanilla ice cream for my snack.
"['Banana, raw', 'Potato chips, barbecue flavored', 'Water, tap']","[28.78, 13.98, 0]","[0.42, 7.76, 0]","[112.14, 121.75, 0]","[1.37, 1.63, 0]",USA,metric,"I’ve got a 126-gram banana, 25 grams of barbecue potato chips, and 240 grams of tap water for my snack."
"['Coffee, brewed', 'Bread, Italian, Grecian, Armenian', 'Almond butter']","[0, 14.91, 3.01]","[0.07, 0.85, 8.88]","[3.6, 80.29, 98.24]","[0.43, 2.94, 3.35]",USA,metric,"I’m having breakfast with a large cup of brewed coffee (360 grams), some Italian bread (31 grams), and a little almond butter (16 grams) on the side."
"['Empanada, Mexican turnover, filled with meat and vegetables']",[69.24],[40.78],[743.7],[25.11],USA,metric,"For lunch, I’m having a 222-gram empanada, packed with meat and vegetables."
"['Rice, brown, cooked, fat added, made with oil']",[48.73],[6.41],[274.4],[5.21],USA,metric,I ate 196 grams of brown rice cooked with oil for lunch.
"['Tuna salad sandwich, on bread', 'Water, bottled, unsweetened']","[32.9, 0]","[21.17, 0]","[396, 0]","[17.8, 0]",USA,metric,"For lunch, I'm having a 180g tuna salad sandwich on bread and a 507g bottle of unsweetened water."
"['Chicken drumstick, fried, coated, skin / coating not eaten, from raw']",[0],[3.77],[84.5],[11.8],USA,metric,"For dinner, I'm having a fried chicken drumstick that weighs 50 grams, with the skin and coating not eaten."
"['Coffee, Cafe Mocha']",[38.06],[5.47],[238.08],[9.52],USA,metric,"For breakfast, I’m enjoying a 372g cup of Cafe Mocha."
"['Cheese, Muenster']",[0.24],[6.31],[77.28],[4.92],USA,metric,Having 21 grams of Muenster cheese as my lunch.
['Energy Drink'],[25.37],[0],[106.64],[1.14],USA,metric,"I grabbed an energy drink for my snack, and it’s 248 grams."
"['Water, tap', 'Soft drink, cola']","[0, 38.54]","[0, 0.93]","[0, 156.24]","[0, 0]",USA,metric,I enjoyed 240 grams of water along with 372 grams of soft drink cola for my snack.
"['Milk, reduced fat (2%)']",[11.98],[4.64],[122],[8.17],USA,metric,"For my snack, I'm drinking 244 grams of 2% milk."
"['Soft drink, root beer', 'Peanut butter sandwich, with regular peanut butter, on wheat bread']","[39.43, 34.39]","[0, 18.74]","[152.52, 349.6]","[0, 14.04]",USA,metric,"For lunch, I had a peanut butter sandwich (92.0g) on wheat bread and a root beer soft drink (372.0g)."
"['Soft drink, cola', 'Potato chips, plain']","[64.23, 15.07]","[1.55, 9.51]","[260.4, 148.96]","[0, 1.79]",USA,metric,I have a snack of 620 grams of cola paired with 28 grams of potato chips.
"['Chicken or turkey parmigiana', 'Roll, garlic']","[13.13, 14.55]","[13.18, 1.8]","[276.66, 86.52]","[25.84, 3.04]",USA,metric,Tonight's dinner consists of 159 grams of chicken or turkey parmigiana and a garlic roll that’s 28 grams.
"['Potato chips, plain', 'Apple, raw']","[15.07, 27.62]","[9.51, 0.34]","[148.96, 104]","[1.79, 0.52]",USA,metric,I’m snacking on 28 grams of plain potato chips alongside a 200-gram raw apple.
"['Soft drink, fruit flavored, caffeine containing', 'Soft taco with meat']","[47.73, 26.7]","[0, 14.16]","[182.28, 290.82]","[0, 14]",USA,metric,"For dinner, I have a soft taco weighing 131 grams and a 372-gram fruit-flavored soft drink."
"['Water, bottled, unsweetened', 'Peanut butter and jelly sandwich, with regular peanut butter, reduced sugar jelly, on whole wheat bread']","[0, 41.91]","[0, 18.76]","[0, 379.68]","[0, 14.04]",USA,metric,"For lunch, I'm having a peanut butter and jelly sandwich (112.0g) made with regular peanut butter and reduced sugar jelly on whole wheat bread, along with a bottle of water (507.0g)."
"['Teriyaki chicken with rice and vegetable, diet frozen meal']",[70.08],[4.87],[393.12],[17.63],USA,metric,"Lunch today is a 312-gram frozen meal with teriyaki chicken, rice, and some vegetables."
"['Sports drink (Gatorade G)', 'Cheese, Parmesan, dry grated', 'Pasta with cream sauce and meat, restaurant']","[23.92, 0.77, 38.25]","[0, 1.74, 35.35]","[96.72, 26.1, 530]","[0, 1.84, 14.4]",USA,metric,"For dinner, I had some pasta with cream sauce and meat, weighing 250 grams, plus 372 grams of Gatorade and 6.2 grams of grated Parmesan."
"['Cheese flavored corn snacks (Cheetos)', 'Soft drink, pepper type', 'Potato, french fries, fast food', 'Cheeseburger (Burger King)']","[30.51, 53.04, 60.09, 26.26]","[20.53, 1.28, 21.36, 13]","[319.2, 215.04, 452.4, 287.1]","[3.33, 0, 4.97, 15.33]",USA,metric,"For lunch, I've got 57 grams of Cheetos, a 512-gram pepper soft drink, 145 grams of fries from a fast food place, and a 110-gram Burger King cheeseburger."
"['Applesauce, baby food, strained', 'Water, baby, bottled, unsweetened']","[12.2, 0]","[0.23, 0]","[46.33, 0]","[0.23, 0]",USA,metric,"For dinner, I'm having 113 grams of strained baby food applesauce and 30 grams of unsweetened bottled baby water."
"['Rice, white, cooked, no added fat', 'Frankfurter or hot dog, cheese-filled']","[44.22, 2.86]","[0.44, 15.1]","[203.82, 173.85]","[4.22, 6.65]",USA,metric,"For dinner, I’m having 158 grams of cooked white rice with a 57-gram cheese-filled hot dog."
"['Water, bottled, unsweetened', 'Carbonated water, unsweetened']","[0, 0]","[0, 0]","[0, 0]","[0, 0]",USA,metric,I’ve got a snack of 507 grams of regular bottled water and 360 grams of sparkling water.
"['Soft taco with chicken, from fast food', 'Water, bottled, unsweetened']","[32.49, 0]","[10.48, 0]","[311.85, 0]","[21.94, 0]",USA,metric,"Lunch today was a soft taco with chicken, weighing 165 grams, and a 330-gram bottle of unsweetened water."
"['Milk, reduced fat (2%)', 'Burrito, taco, or quesadilla with egg']","[11.98, 37.92]","[4.64, 24.79]","[122, 463.32]","[8.17, 20.83]",USA,metric,"For breakfast, I have 198 grams of a taco burrito with egg and 244 grams of reduced-fat milk."
"['Beef steak, fried, lean and fat eaten', 'Flavored rice and pasta mixture', 'Soft drink, cola']","[0, 37.46, 64.23]","[18.01, 6.84, 1.55]","[314.9, 231.28, 260.4]","[36.26, 5.25, 0]",USA,metric,"For dinner, I had 134 grams of fried beef steak, 196 grams of a flavored rice and pasta mixture, and a 620-gram soft drink of cola."
"['Potato, hash brown, ready-to-heat']",[15.53],[6.31],[119.35],[1.44],USA,metric,I just heated up 55 grams of hash browns for a quick snack.
"['Water, bottled, unsweetened', 'Soft drink, fruit flavored, caffeine containing, diet']","[0, 0]","[0, 0]","[0, 0]","[0, 0.36]",USA,metric,"For my snack, I'm having a bottle of unsweetened water weighing 507 grams along with 360 grams of a diet fruit-flavored soft drink."
"['Coffee, instant, reconstituted', 'Roll, sweet, cinnamon bun, frosted']","[1.51, 26.24]","[0, 14.37]","[7.2, 244.08]","[0.24, 2.4]",USA,metric,"I'm having 240 grams of instant coffee and a sweet, frosted cinnamon bun that weighs 54 grams for breakfast."
"['Apple-sweet potato juice, baby food']",[14.14],[0.12],[58.28],[0.37],USA,metric,I've got 124 grams of apple-sweet potato juice baby food as a snack.
"['Fudge, chocolate, with nuts']",[14.99],[4.16],[101.2],[0.96],USA,metric,"For my snack, I’m eating 22 grams of chocolate fudge that has nuts in it."
"['Frankfurter or hot dog sandwich, beef, plain, on whole wheat bun', 'Cookie, chocolate chip', 'Soft drink, cola']","[21.95, 19.61, 38.54]","[18.77, 7.42, 0.93]","[309.06, 147.6, 156.24]","[12.59, 1.53, 0]",USA,metric,"For lunch, I'm having a beef hot dog on a whole wheat bun (102.0g), a chocolate chip cookie (30.0g), and a cola (372.0g)."
"['Chicken breast, baked or broiled, skin not eaten, from pre-cooked']",[0],[4.28],[172.8],[33.65],USA,metric,I’m eating 120 grams of chicken breast for lunch; it’s baked and I took off the skin.
"['Water, bottled, unsweetened', 'Chicken thigh, grilled with sauce, skin not eaten']","[0, 7.28]","[0, 8.56]","[0, 190]","[0, 19.8]",USA,metric,"For dinner, I have a serving of 240 grams of unsweetened bottled water and 100 grams of grilled chicken thigh with sauce, without the skin."
"['Water, tap', 'Sports drink (Gatorade G)', 'Water, bottled, unsweetened']","[0, 39.87, 0]","[0, 0, 0]","[0, 161.2, 0]","[0, 0, 0]",USA,metric,"For a snack, I'm having 507 grams of tap water, 620 grams of Gatorade, and another 507 grams of bottled unsweetened water."
"['Soft drink, cola', 'Turnover, meat- and cheese-filled, tomato-based sauce']","[64.23, 46.63]","[1.55, 15.55]","[260.4, 383.04]","[0, 14.17]",USA,metric,"For lunch, I've got a 620g cola and a 152g turnover filled with meat and cheese, topped with tomato sauce."
"['Water, tap', 'Chocolate, sweet or dark']","[0, 4.81]","[0, 2.66]","[0, 42.24]","[0, 0.36]",USA,metric,I’ve got 240 grams of tap water along with 8 grams of chocolate for my snack.
