description,carb,fat,energy,protein,country,amount_type,queries
"['Water, bottled, unsweetened']",[0],[0],[0],[0],USA,metric,"For a snack, I’m drinking 360 grams of bottled water."
"['Water, bottled, unsweetened', 'Pizza with pepperoni, from school lunch, thin crust', 'Chocolate milk, ready to drink, reduced sugar, NS as to milk']","[0, 44.36, 19.05]","[0, 12.24, 2.58]","[0, 360.68, 141.36]","[0, 18.15, 8.51]",USA,metric,"For lunch, I'm having 240 grams of bottled unsweetened water, a slice of school lunch thin crust pepperoni pizza weighing 142 grams, and 248 grams of reduced sugar chocolate milk."
"['Ice cream bar, vanilla, chocolate coated']",[18.38],[18.08],[248.25],[3.08],USA,metric,"For a snack, I have a chocolate-coated vanilla ice cream bar weighing 75 grams."
"['Egg omelet or scrambled egg, with cheese, made with oil', 'Pork sausage', 'French toast, plain, from frozen', 'Pancake syrup, light']","[1.51, 0.28, 17.92, 6.68]","[23.02, 5.45, 2.23, 0]","[286.2, 65, 109.8, 24.75]","[17.31, 3.71, 4.36, 0]",USA,metric,"I have a breakfast spread of a 135g egg and cheese omelet made with oil, 20g of pork sausage, 60g of frozen French toast, and 15g of light pancake syrup."
"['Apple, raw', 'Popcorn, ready-to-eat packaged, cheese flavored']","[27.62, 14.45]","[0.34, 9.3]","[104, 147.28]","[0.52, 2.6]",USA,metric,"For my snack, I have a 200-gram apple and 28 grams of popcorn that’s flavored with cheese."
"['Fruit juice drink, with high vitamin C']",[21.11],[0.2],[85.56],[0.24],USA,metric,"I'm having a fruit juice drink with high vitamin C for a snack, and it's 186 grams."
"['Peanut butter and jelly sandwich, with regular peanut butter, regular jelly, on white bread', 'Strawberry milk, whole']","[50.65, 29.31]","[18.51, 7.37]","[406.56, 210.8]","[12.89, 7.54]",USA,metric,"For lunch, I'm having a peanut butter and jelly sandwich made with 112.0g of regular peanut butter and jelly on white bread, along with a glass of 248.0g of whole strawberry milk."
"['Soft drink, cola']",[54.29],[1.31],[220.08],[0],USA,metric,I’m having a 524g soft drink cola for a snack.
"['Chicken wing, sauteed', 'Potato, mashed, from fresh, made with milk', 'Ketchup', 'Chicken drumstick, sauteed, skin eaten']","[0, 44, 4.66, 0]","[6.44, 10.15, 0.02, 7.11]","[92.75, 282.5, 17.17, 121.8]","[8.1, 5.38, 0.18, 13.62]",USA,metric,"I’m having a lunch that includes 35 grams of sautéed chicken wings, 250 grams of creamy mashed potatoes with milk, 17 grams of ketchup on the side, and a 60-gram sautéed chicken drumstick with its skin."
"['Pan Dulce, with sugar topping', 'Coffee, instant, reconstituted']","[39.44, 1.51]","[8.97, 0]","[261.8, 7.2]","[6.11, 0.24]",USA,metric,I’ve got a sugar-topped Pan Dulce weighing 70 grams and a cup of instant coffee at 240 grams for breakfast.
"['Apple, raw', 'Water, bottled, unsweetened']","[22.79, 0]","[0.28, 0]","[85.8, 0]","[0.43, 0]",USA,metric,I have a 165 gram raw apple and 240 grams of unsweetened bottled water for my snack.
"['Apple, raw']",[27.62],[0.34],[104],[0.52],USA,metric,"I'm snacking on a raw apple, and it's 200 grams."
"['Chicken drumstick, fried, coated, skin / coating eaten, from pre-cooked', 'Broccoli, cooked, from restaurant', 'Chicken wing, fried, coated, from pre-cooked']","[6.01, 10.5, 3.89]","[13.28, 7.49, 11.3]","[209.1, 115.2, 160.6]","[15.51, 4.48, 10.22]",USA,metric,"I ate a dinner that included an 85g fried chicken drumstick, 160g of cooked broccoli, and a 55g fried chicken wing."
"['Doughnut, chocolate', 'Water, bottled, unsweetened', 'Yogurt, Greek, low fat milk, fruit']","[38.96, 0, 30.11]","[16.83, 0, 6.3]","[312.75, 0, 257.25]","[3.9, 0, 20.02]",USA,metric,"I enjoyed a chocolate doughnut weighing 75g, along with 240g of bottled water and 245g of fruit-flavored low-fat Greek yogurt for dinner."
"['Chicken or turkey vegetable soup, home recipe']",[9.89],[4.06],[114.72],[10.8],USA,metric,"For lunch, I'm having a serving of my homemade chicken or turkey vegetable soup, measuring 239 grams."
"['Muffin, chocolate', 'Apple juice, 100%']","[65.82, 14.01]","[24.05, 0.16]","[508.3, 57.04]","[8.31, 0.12]",USA,metric,"For breakfast, I'm having a 130g chocolate muffin and 124g of 100% apple juice."
"['Yogurt parfait, low fat, with fruit', 'Water, bottled, unsweetened']","[23.79, 0]","[1.52, 0]","[126, 0]","[5.04, 0]",USA,metric,"I have a 150-gram low-fat yogurt parfait with fruit for lunch, plus 240 grams of unsweetened bottled water."
"['Milk, NFS']",[11.88],[4.86],[124.44],[8.15],USA,metric,I had 244 grams of milk for breakfast.
"['Pizza, with pepperoni, from school lunch, medium crust']",[43.76],[13.55],[376.32],[19.93],USA,metric,"For lunch, I had a piece of medium crust pepperoni pizza from school, weighing 147 grams."
