doc_id,base_E_pred,base_E_resp,description,country,queries,carb,fat,energy,protein,base_E_mae,CoT_E_pred,CoT_E_resp,CoT_E_mae,base_pred,base_resp,base_mae
477,366.5,"['{""total_carbohydrates"": 366.5}']","['Baking yeast', 'Cassava roots, PROCESS = Boiling', 'Dried starchy roots and tuber products, SOURCE-COMMODITIES = Cassava roots, PROCESS = Boiling, PROCESS = Steaming, PHYSICAL-STATE = Powder', 'Fermented tea infusion, INGREDIENT = Tap water, QUALITATIVE-INFO = Black', 'Palm oil/fat, QUALITATIVE-INFO = Red', 'Pumpkin seeds, PROCESS = Roasting, PHYSICAL-STATE = Whole/unsplit form, including artificial forms', 'Salt', 'Smoked fish, SOURCE-COMMODITIES = Whitefishes or coregonus', 'Tomatoes, PROCESS = Frying, QUALITATIVE-INFO = Red, QUALITATIVE-INFO = Ripe / mature', 'Wheat flour white, PROCESS = Boiling', 'White sugar']",COD,"For breakfast, I'm having 178 grams of boiled cassava roots, 5.2 grams of dried starchy roots and tuber products, 71.8 grams of roasted pumpkin seeds, 0.5 grams of baking yeast, 7.7 grams of fermented tea infusion with tap water, 26.5 grams of red palm oil, 3.0 grams of salt, 45.9 grams of smoked fish, 27.2 grams of ripe red tomatoes, 13.9 grams of white wheat flour, and 124.7 grams of white sugar.",238.2,46.6,1468.0,24.300000000000004,128.3,219.107,"['The meal consists of the following items:\n\n1. 178 grams of boiled cassava roots\n2. 5.2 grams of dried starchy roots and tuber products\n3. 71.8 grams of roasted pumpkin seeds\n4. 0.5 grams of baking yeast\n5. 7.7 grams of fermented tea infusion with tap water\n6. 26.5 grams of red palm oil\n7. 3.0 grams of salt\n8. 45.9 grams of smoked fish\n9. 27.2 grams of ripe red tomatoes\n10. 13.9 grams of white wheat flour\n11. 124.7 grams of white sugar\n\nNow, let\'s estimate the carbohydrates for each item:\n\n1. Boiled cassava roots: Approximately 38g of carbs per 100g. So, 178g has (38 * 178 / 100) = 67.64g carbs.\n2. Dried starchy roots and tuber products: Approximately 80g of carbs per 100g. So, 5.2g has (80 * 5.2 / 100) = 4.16g carbs.\n3. Roasted pumpkin seeds: Approximately 15g of carbs per 100g. So, 71.8g has (15 * 71.8 / 100) = 10.77g carbs.\n4. Baking yeast: Approximately 37g of carbs per 100g. So, 0.5g has (37 * 0.5 / 100) = 0.185g carbs.\n5. Fermented tea infusion with tap water: Typically 0g carbs.\n6. Red palm oil: 0g carbs.\n7. Salt: 0g carbs.\n8. Smoked fish: Typically 0g carbs.\n9. Ripe red tomatoes: Approximately 4g of carbs per 100g. So, 27.2g has (4 * 27.2 / 100) = 1.088g carbs.\n10. White wheat flour: Approximately 76g of carbs per 100g. So, 13.9g has (76 * 13.9 / 100) = 10.564g carbs.\n11. White sugar: Approximately 100g of carbs per 100g. So, 124.7g has (100 * 124.7 / 100) = 124.7g carbs.\n\nAdding up the carbohydrates from all items:\n\n67.64 + 4.16 + 10.77 + 0.185 + 0 + 0 + 0 + 0 + 1.088 + 10.564 + 124.7 = 219.107\n\nOutput: {""total_carbohydrates"": 219.107}']",19.09299999999999,128.9,"['{{""total_carbohydrates"": 128.9}}']",109.29999999999998
471,198.5,"['{""total_carbohydrates"": 198.5}']","['Chili peppers, PROCESS = Frying', 'Chives, PROCESS = Steaming', 'Dried starchy roots and tuber products, SOURCE-COMMODITIES = Cassava roots, PROCESS = Boiling, PROCESS = Steaming, PHYSICAL-STATE = Powder', 'Palm oil/fat, QUALITATIVE-INFO = Red', 'Salt', 'Smoked fish, SOURCE-COMMODITIES = Whitefishes or coregonus', 'Stock cube or granulate, beef, PROCESS = Drying (dehydration), GENERIC-TERM = Other', 'Sweet potato leaves, PROCESS = Boiling, QUALITATIVE-INFO = Without added salt', 'Tomatoes, PROCESS = Boiling, QUALITATIVE-INFO = Ripe / mature, QUALITATIVE-INFO = Without added salt, QUALITATIVE-INFO = Red']",COD,"For lunch, I'm having 2.2g of fried chili peppers, 17.4g of steamed chives, and 181.6g of boiled cassava root powder. I added 71.1g of red palm oil, 8.3g of salt, and 29.2g of smoked fish. I also included 1.9g of a beef stock cube, 309.1g of boiled sweet potato leaves, and 23.2g of boiled ripe tomatoes.",77.0,76.99999999999999,1100.0,21.6,121.5,68.208,"['The meal consists of the following items:\n\n1. 2.2g of fried chili peppers\n2. 17.4g of steamed chives\n3. 181.6g of boiled cassava root powder\n4. 71.1g of red palm oil\n5. 8.3g of salt\n6. 29.2g of smoked fish\n7. 1.9g of a beef stock cube\n8. 309.1g of boiled sweet potato leaves\n9. 23.2g of boiled ripe tomatoes\n\nNow, let\'s estimate the carbohydrates for each item:\n\n1. Fried chili peppers: 2.2g is a very small amount, contributing negligible carbs.\n2. Steamed chives: 17.4g is a small amount, contributing negligible carbs.\n3. Boiled cassava root powder: Cassava is high in carbohydrates. Typically, boiled cassava has about 38g of carbs per 100g. So, 181.6g of boiled cassava root powder would have approximately 181.6 * (38 / 100) = 68.208g of carbs.\n4. Red palm oil: Oil contains no carbohydrates.\n5. Salt: Contains no carbohydrates.\n6. Smoked fish: Contains negligible carbohydrates.\n7. Beef stock cube: Contains negligible carbohydrates.\n8. Boiled sweet potato leaves: 309.1g is a large amount, but leafy greens are low in carbs. They contribute negligible carbs.\n9. Boiled ripe tomatoes: 23.2g is a small amount, contributing negligible carbs.\n\nAdding up the carbohydrates from all items, the only significant contributor is the boiled cassava root powder.\n\nTotal carbohydrates = 68.208g\n\nOutput: {""total_carbohydrates"": 68.208}']",8.792000000000002,158.5,"['{{""total_carbohydrates"": 158.5}}']",81.5
517,150.0,"['{""total_carbohydrates"": 150}']","['Egg\t chicken\t whole\t raw corrected for omelette', 'Onion\t mature\t red skinned\t peeled\t fresh\t raw corrected for stewing', 'Salt\t Iodized', 'Vegetable oil', 'Whole Maize Flour Ugali']",KEN,"For dinner, I’m having 54.1g of raw chicken egg, 17.5g of fresh red onion, 18.8g of iodized salt, 17.5g of vegetable oil, cooked in some vegetable oil, along with 200g of whole maize flour ugali.",30.3,40.0,494.0,4.6,119.7,147.8996,"['The meal consists of the following items:\n- 54.1g of raw chicken egg\n- 17.5g of fresh red onion\n- 18.8g of iodized salt\n- 17.5g of vegetable oil\n- 200g of whole maize flour ugali\n\nLet\'s estimate the carbohydrates for each item:\n\n1. **Raw chicken egg (54.1g):** Eggs have very low carbohydrates. Approximately 0.6g of carbs per 100g. So, 54.1g of egg has about 0.6 * (54.1 / 100) = 0.3246g of carbs.\n\n2. **Fresh red onion (17.5g):** Onions have about 9g of carbs per 100g. So, 17.5g of onion has 9 * (17.5 / 100) = 1.575g of carbs.\n\n3. **Iodized salt (18.8g):** Salt contains 0g of carbohydrates.\n\n4. **Vegetable oil (17.5g):** Oil contains 0g of carbohydrates.\n\n5. **Whole maize flour ugali (200g):** Whole maize flour has about 73g of carbs per 100g. So, 200g of ugali has 73 * (200 / 100) = 146g of carbs.\n\nNow, let\'s add up the carbohydrates from all items:\n- Egg: 0.3246g\n- Onion: 1.575g\n- Salt: 0g\n- Oil: 0g\n- Ugali: 146g\n\nTotal carbohydrates = 0.3246 + 1.575 + 0 + 0 + 146 = 147.8996g\n\nOutput: {""total_carbohydrates"": 147.8996}']",117.5996,145.5,"['{{""total_carbohydrates"": 145.5}}']",115.2
472,184.5,"['{""total_carbohydrates"": 184.5}']","['Amaranth leaves, PROCESS = Boiling, QUALITATIVE-INFO = Without added salt', 'Cassava roots, PROCESS = Boiling', 'Chili peppers, PROCESS = Frying', 'Chives, PROCESS = Steaming', 'Edible insect larvae, SOURCE = Termites (as animal), PROCESS = Simmering', 'Oranges, PROCESS = Raw, no heat treatment', 'Palm oil/fat, QUALITATIVE-INFO = Red', 'Salt', 'Stock cube or granulate, beef, PROCESS = Drying (dehydration), GENERIC-TERM = Other', 'Tomatoes, PROCESS = Frying, QUALITATIVE-INFO = Red, QUALITATIVE-INFO = Ripe / mature']",COD,"For dinner, I have 212.3g of boiled amaranth leaves, 178g of boiled cassava roots, some fried chili peppers weighing 0.8g, 6.6g of steamed chives, 56.0g of simmered edible insect larvae from termites, 255.0g of raw oranges, 46.1g of red palm oil, 8.3g of salt, 2.6g of beef stock cube, and 33.2g of fried ripe red tomatoes.",102.2,65.99999999999999,1133.0,26.3,82.3,108.42,"['The meal consists of the following items:\n\n1. 212.3g of boiled amaranth leaves\n2. 178g of boiled cassava roots\n3. 0.8g of fried chili peppers\n4. 6.6g of steamed chives\n5. 56.0g of simmered edible insect larvae from termites\n6. 255.0g of raw oranges\n7. 46.1g of red palm oil\n8. 8.3g of salt\n9. 2.6g of beef stock cube\n10. 33.2g of fried ripe red tomatoes\n\nNow, let\'s estimate the carbohydrates for each item:\n\n1. Boiled amaranth leaves: Approximately 4g of carbs per 100g. So, 212.3g has (212.3 * 4 / 100) = 8.49g of carbs.\n2. Boiled cassava roots: Approximately 38g of carbs per 100g. So, 178g has (178 * 38 / 100) = 67.64g of carbs.\n3. Fried chili peppers: Approximately 9g of carbs per 100g. So, 0.8g has (0.8 * 9 / 100) = 0.072g of carbs.\n4. Steamed chives: Approximately 4g of carbs per 100g. So, 6.6g has (6.6 * 4 / 100) = 0.264g of carbs.\n5. Simmered edible insect larvae from termites: Typically low in carbs, approximately 0g of carbs.\n6. Raw oranges: Approximately 12g of carbs per 100g. So, 255.0g has (255.0 * 12 / 100) = 30.6g of carbs.\n7. Red palm oil: 0g of carbs.\n8. Salt: 0g of carbs.\n9. Beef stock cube: Approximately 1g of carbs per 100g. So, 2.6g has (2.6 * 1 / 100) = 0.026g of carbs.\n10. Fried ripe red tomatoes: Approximately 4g of carbs per 100g. So, 33.2g has (33.2 * 4 / 100) = 1.328g of carbs.\n\nAdding up the carbohydrates from all items:\n8.49 + 67.64 + 0.072 + 0.264 + 0 + 30.6 + 0 + 0 + 0.026 + 1.328 = 108.42g\n\nOutput: {""total_carbohydrates"": 108.42}']",6.219999999999999,116.5,"['{{""total_carbohydrates"": 116.5}}']",14.299999999999997
470,331.5,"['{""total_carbohydrates"": 331.5}']","['Cassava leaves, PROCESS = Boiling, QUALITATIVE-INFO = Without added salt', 'Chives, PROCESS = Steaming', 'Mangoes, PROCESS = Raw, no heat treatment, QUALITATIVE-INFO = Orange', 'Palm oil/fat, QUALITATIVE-INFO = Red', 'Porridge water based (ready to eat), INGREDIENT = Maize grain, QUALITATIVE-INFO = Hard', 'Salt', 'Stock cube or granulate, beef, PROCESS = Drying (dehydration), GENERIC-TERM = Other']",COD,"For breakfast, I had 127.8g of boiled cassava leaves with no added salt, 1.9g of steamed chives, 206.0g of raw mangoes, 61.9g of red palm oil, 729.0g of ready-to-eat maize porridge, 1.9g of salt, and 0.3g of dried beef stock cube.",260.1,75.2,1794.0,31.5,71.39999999999998,140.25,"['The meal consists of the following items:\n\n1. 127.8g of boiled cassava leaves\n2. 1.9g of steamed chives\n3. 206.0g of raw mangoes\n4. 61.9g of red palm oil\n5. 729.0g of ready-to-eat maize porridge\n6. 1.9g of salt\n7. 0.3g of dried beef stock cube\n\nLet\'s estimate the carbohydrates for each item:\n\n1. Boiled cassava leaves: Cassava leaves are primarily a source of fiber and protein, with very low carbohydrates. For 127.8g, the carbs are negligible, approximately 0g.\n2. Steamed chives: Chives have very low carbohydrates. For 1.9g, the carbs are negligible, approximately 0g.\n3. Raw mangoes: Mangoes have about 15g of carbs per 100g. For 206.0g, the carbs are (15 * 206.0 / 100) = 30.9g.\n4. Red palm oil: Palm oil contains no carbohydrates, so 61.9g contributes 0g carbs.\n5. Ready-to-eat maize porridge: Maize porridge has about 15g of carbs per 100g. For 729.0g, the carbs are (15 * 729.0 / 100) = 109.35g.\n6. Salt: Salt contains no carbohydrates, so 1.9g contributes 0g carbs.\n7. Dried beef stock cube: Stock cubes have negligible carbohydrates. For 0.3g, the carbs are approximately 0g.\n\nAdding up the carbohydrates:\nTotal carbohydrates = 0 + 0 + 30.9 + 0 + 109.35 + 0 + 0 = 140.25g\n\nOutput: {""total_carbohydrates"": 140.25}']",119.85000000000002,187.5,"['{{""total_carbohydrates"": 187.5}}']",72.60000000000002
348,130.0,"['{""total_carbohydrates"": 130}']","['CHICKEN SOUP', 'POTATOES WITH MEAT']",ROU,Lunch today includes 382 grams of chicken soup and 378 grams of potatoes with meat.,58.7,78.9,1155.0,54.1,71.3,71.98,"['The meal consists of 382 grams of chicken soup and 378 grams of potatoes with meat.\n\n1. Chicken soup: \n   - Chicken soup typically has about 4g of carbohydrates per 100g.\n   - 382g of chicken soup would have (382 * 4 / 100) = 15.28g of carbohydrates.\n\n2. Potatoes with meat:\n   - Potatoes are a significant source of carbohydrates, while meat contributes very little.\n   - Assuming a typical preparation, potatoes with meat might have around 15g of carbohydrates per 100g.\n   - 378g of potatoes with meat would have (378 * 15 / 100) = 56.7g of carbohydrates.\n\nAdding these together gives the total carbohydrates:\n15.28g (chicken soup) + 56.7g (potatoes with meat) = 71.98g\n\nOutput: {""total_carbohydrates"": 71.98}']",13.280000000000001,78.6,"['{{""total_carbohydrates"": 78.6}}']",19.89999999999999
476,92.5,"['{""total_carbohydrates"": 92.5}']","['Boiled eggs, SOURCE-COMMODITIES = Hen eggs', 'Chicken fresh meat, PROCESS = Boiling, QUALITATIVE-INFO = Dark, QUALITATIVE-INFO = Without added salt, PART-CONSUMED-ANALYSED = With skin', 'Chili peppers, PROCESS = Frying', 'Chives, PROCESS = Steaming', 'Garlic, PROCESS = Frying', 'Nut/seeds paste/emulsion/mass, SOURCE-COMMODITIES = Peanuts, PROCESS = Roasting', 'Palm oil/fat, QUALITATIVE-INFO = Red', 'Porridge water based (ready to eat), INGREDIENT = Maize grain, QUALITATIVE-INFO = Hard', 'Pumpkin seeds, PROCESS = Roasting, PHYSICAL-STATE = Whole/unsplit form, including artificial forms', 'Salt', 'Smoked fish, SOURCE-COMMODITIES = Whitefishes or coregonus', 'Stock cube or granulate, beef, PROCESS = Drying (dehydration), GENERIC-TERM = Other', 'Tomatoes, PHYSICAL-STATE = Paste', 'Tomatoes, PROCESS = Frying, QUALITATIVE-INFO = Red, QUALITATIVE-INFO = Ripe / mature']",COD,"For lunch, I had 33.1g of boiled eggs, 20.3g of boiled chicken with skin, and some fried chili peppers (0.4g). I also included 1.6g of steamed chives and 1.0g of fried garlic. To add a little more flavor, I tossed in some peanut paste (4.0g), a dollop of palm oil (3.4g), and a generous bowl of porridge (160.0g). I also snuck in 210.7g of roasted pumpkin seeds and a sprinkle of salt (1.6g). For an extra kick, I added some smoked fish (27.6g), a bit of beef stock (0.9g), and some tomato paste (1.2g) along with fried tomatoes (0.4g).",160.49999999999997,58.89999999999999,1361.0,57.50000000000001,67.99999999999997,52.19,"['The meal consists of the following items:\n\n1. Boiled eggs (33.1g)\n2. Boiled chicken with skin (20.3g)\n3. Fried chili peppers (0.4g)\n4. Steamed chives (1.6g)\n5. Fried garlic (1.0g)\n6. Peanut paste (4.0g)\n7. Palm oil (3.4g)\n8. Porridge (160.0g)\n9. Roasted pumpkin seeds (210.7g)\n10. Salt (1.6g)\n11. Smoked fish (27.6g)\n12. Beef stock (0.9g)\n13. Tomato paste (1.2g)\n14. Fried tomatoes (0.4g)\n\nNow, let\'s estimate the carbohydrates for each item:\n\n1. Boiled eggs: 0.6g carbs per 100g, so 33.1g has approximately 0.2g carbs.\n2. Boiled chicken with skin: 0g carbs.\n3. Fried chili peppers: 0.4g is negligible, approximately 0g carbs.\n4. Steamed chives: 4.35g carbs per 100g, so 1.6g has approximately 0.07g carbs.\n5. Fried garlic: 33g carbs per 100g, so 1.0g has approximately 0.33g carbs.\n6. Peanut paste: 14g carbs per 100g, so 4.0g has approximately 0.56g carbs.\n7. Palm oil: 0g carbs.\n8. Porridge: 12g carbs per 100g, so 160.0g has approximately 19.2g carbs.\n9. Roasted pumpkin seeds: 15g carbs per 100g, so 210.7g has approximately 31.6g carbs.\n10. Salt: 0g carbs.\n11. Smoked fish: 0g carbs.\n12. Beef stock: 0g carbs.\n13. Tomato paste: 18.9g carbs per 100g, so 1.2g has approximately 0.23g carbs.\n14. Fried tomatoes: 0.4g is negligible, approximately 0g carbs.\n\nNow, let\'s add up the carbohydrates:\n\nTotal carbohydrates = 0.2 + 0 + 0 + 0.07 + 0.33 + 0.56 + 0 + 19.2 + 31.6 + 0 + 0 + 0 + 0.23 + 0 = 52.19g\n\nOutput: {""total_carbohydrates"": 52.19}']",108.30999999999997,54.8,"['{{""total_carbohydrates"": 54.8}}']",105.69999999999997
122,150.0,"['{""total_carbohydrates"": 150}']","['Pasta with cream sauce and seafood, home recipe', 'Pasta with cream sauce and poultry, home recipe']",USA,"Tonight’s dinner is 250 grams of pasta with cream sauce and seafood, plus 250 grams of pasta with cream sauce and poultry.",83.57,33.870000000000005,767.5,30.96,66.43,150.0,"['The meal consists of 250 grams of pasta with cream sauce and seafood, and 250 grams of pasta with cream sauce and poultry.\n\n1. Pasta with cream sauce and seafood:\n   - 250 grams of pasta with cream sauce and seafood typically contains about 30g of carbohydrates per 100g.\n   - Therefore, 250g would contain (30 * 2.5) = 75g of carbohydrates.\n\n2. Pasta with cream sauce and poultry:\n   - Similarly, 250 grams of pasta with cream sauce and poultry would also contain about 30g of carbohydrates per 100g.\n   - Therefore, 250g would contain (30 * 2.5) = 75g of carbohydrates.\n\nAdding the carbohydrates from both dishes:\nTotal carbohydrates = 75g + 75g = 150g\n\nOutput: {""total_carbohydrates"": 150}']",66.43,150.0,"['{{""total_carbohydrates"": 150}}']",66.43
402,106.5,"['{""total_carbohydrates"": 106.5}']","['Boiled coffee beans + salt', 'Corn bread, unleavened (â\x80\x98Qitaâ\x80\x99)', 'Ethiopian kale, boiled with oil + onion + salt']",ETH,"I started my day with 248 grams of boiled coffee beans and salt, along with 290g of corn bread and 210.2g of Ethiopian kale cooked with oil and onion.",166.20000000000002,21.7,622.0,19.5,59.70000000000002,155.51,"['The meal consists of 248g of boiled coffee beans and salt, 290g of corn bread, and 210.2g of Ethiopian kale cooked with oil and onion.\n\n1. Boiled coffee beans and salt: Coffee beans are not typically consumed in boiled form, and they contribute negligible carbohydrates. Salt also contributes 0g of carbohydrates.\n\n2. Corn bread: Corn bread is a significant source of carbohydrates. On average, 100g of corn bread contains about 50g of carbohydrates. Therefore, 290g of corn bread contains:\n   \\[\n   290 \\times \\frac{50}{100} = 145 \\text{g of carbohydrates}\n   \\]\n\n3. Ethiopian kale cooked with oil and onion: Kale is low in carbohydrates. On average, 100g of cooked kale contains about 5g of carbohydrates. Therefore, 210.2g of cooked kale contains:\n   \\[\n   210.2 \\times \\frac{5}{100} = 10.51 \\text{g of carbohydrates}\n   \\]\n\nAdding up the carbohydrates from all items:\n\\[\n0 + 145 + 10.51 = 155.51 \\text{g of carbohydrates}\n\\]\n\nOutput: {""total_carbohydrates"": 155.51}']",10.690000000000026,148.2,"['{{""total_carbohydrates"": 148.2}}']",18.00000000000003
197,180.0,"['{""total_carbohydrates"": 180}']","['Soft drink, cola', 'Burrito with meat, beans, and rice']",USA,"My lunch consists of a 372-gram soft drink and a burrito with meat, beans, and rice that weighs 482 grams.",123.37,53.08,1173.26,50.61,56.629999999999995,181.8,"['The meal consists of a 372-gram soft drink and a 482-gram burrito with meat, beans, and rice.\n\n1. **Soft Drink:**\n   - A typical soft drink has about 10g of carbohydrates per 100g.\n   - For a 372g soft drink: \\( 372 \\times \\frac{10}{100} = 37.2 \\)g of carbohydrates.\n\n2. **Burrito:**\n   - A burrito with meat, beans, and rice typically has about 30g of carbohydrates per 100g.\n   - For a 482g burrito: \\( 482 \\times \\frac{30}{100} = 144.6 \\)g of carbohydrates.\n\n3. **Total Carbohydrates:**\n   - Total carbohydrates = 37.2g (soft drink) + 144.6g (burrito) = 181.8g\n\nOutput: {""total_carbohydrates"": 181.8}']",58.43000000000001,156.0,"['{{""total_carbohydrates"": 156}}']",32.629999999999995
